日期,传感器1温度,传感器2温度
2024/1/1,16,13.3
2024/1/2,17.9,21.7
2024/1/3,21.5,19
2024/1/4,23.2,16.9
2024/1/5,17.8,
2024/1/6,14.9,14.2
2024/1/7,15.8,12.9
2024/1/7,15.8,12.9
2024/1/8,12.8,8.4
2024/1/9,11,9.7
2024/1/10,15.5,14.2
2024/1/11,16.9,19.6
2024/1/12,19.8,22.6
2024/1/13,22.5,21.8
2024/1/14,17.6,22.3
2024/1/15,,13.4
2024/1/16,14.9,15.4
2024/1/17,11.6,12.8
2024/1/18,13.6,14.8
2024/1/19,12.5,15.1
2024/1/20,14.4,11.7
2024/1/21,23.5,21
2024/1/22,22.6,22.6
2024/1/23,23.9,23.9
2024/1/24,19.6,23.1
2024/1/25,18.6,20.9
2024/1/26,17,18.1
2024/1/27,12.5,14.1
2024/1/28,15.6,14.5
2024/1/29,15.6,16.9
2024/1/30,19.4,22.5
